,delay,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent(%)
0,931256033.777,Jackson Hts - Roosevelt Av_0,Broadway Jct_0,315917299.582,326405791.399,642323090.981,288932942.796,40.746644,-73.891338,40.678904,-73.9045792,44.9824935228
1,589497670.155,149 St - Grand Concourse_0,Broadway Jct_0,264481925.8,326405791.399,590887717.199,-1390047.044,40.8183983333,-73.926929,40.678904,-73.9045792,-0.235247239626
2,579460678.466,125 St_2,Broadway Jct_0,256294926.729,326405791.399,582700718.128,-3240039.662,40.804138,-73.937594,40.678904,-73.9045792,-0.556038384921
3,446488221.554,Newkirk Plaza_0,Broadway Jct_0,123750250.403,326405791.399,450156041.802,-3667820.248,40.635082,-73.962793,40.678904,-73.9045792,-0.814788630475
4,428332047.094,Essex St_0,Broadway Jct_0,38814251.2265,326405791.399,365220042.625,63112004.4685,40.718315,-73.987437,40.678904,-73.9045792,17.2805424409
5,406539660.723,Nostrand Av_1,Broadway Jct_0,71000339.244,326405791.399,397406130.643,9133530.08,40.680438,-73.950426,40.678904,-73.9045792,2.29828615508
6,337835546.42,25 St_0,Broadway Jct_0,11718325.4091,326405791.399,338124116.808,-288570.3881,40.660397,-73.998091,40.678904,-73.9045792,-0.0853445151514
7,919569270.694,Jackson Hts - Roosevelt Av_0,Queensboro Plaza_0,315917299.582,251635172.674,567552472.256,352016798.438,40.746644,-73.891338,40.750582,-73.940202,62.0236569561
8,512922906.985,149 St - Grand Concourse_0,Queensboro Plaza_0,264481925.8,251635172.674,516117098.474,-3194191.489,40.8183983333,-73.926929,40.750582,-73.940202,-0.618888910762
9,502256812.726,125 St_2,Queensboro Plaza_0,256294926.729,251635172.674,507930099.403,-5673286.677,40.804138,-73.937594,40.750582,-73.940202,-1.11694240677
10,374565443.282,Newkirk Plaza_0,Queensboro Plaza_0,123750250.403,251635172.674,375385423.077,-819979.795,40.635082,-73.962793,40.750582,-73.940202,-0.218436770474
11,290092083.013,Essex St_0,Queensboro Plaza_0,38814251.2265,251635172.674,290449423.9,-357340.8875,40.718315,-73.987437,40.750582,-73.940202,-0.123030330961
12,322330564.84,Nostrand Av_1,Queensboro Plaza_0,71000339.244,251635172.674,322635511.918,-304947.078,40.680438,-73.950426,40.750582,-73.940202,-0.0945175179841
13,263343416.168,25 St_0,Queensboro Plaza_0,11718325.4091,251635172.674,263353498.083,-10081.9151,40.660397,-73.998091,40.750582,-73.940202,-0.00382828220374
14,570370966.313,Broadway Jct_0,Queensboro Plaza_0,326405791.399,251635172.674,578040964.073,-7669997.76,40.678904,-73.9045792,40.750582,-73.940202,-1.32689519199
15,334718962.322,145 St_0,Queensboro Plaza_0,83423715.5713,251635172.674,335058888.245,-339925.9233,40.824783,-73.944216,40.750582,-73.940202,-0.10145259094
16,498307546.7,Junction Blvd_0,Queensboro Plaza_0,269649748.36,251635172.674,521284921.034,-22977374.334,40.749145,-73.869527,40.750582,-73.940202,-4.40783406672
17,526771821.611,Kew Gardens - Union Tpke_0,Queensboro Plaza_0,278833714.346,251635172.674,530468887.02,-3697065.409,40.714441,-73.831008,40.750582,-73.940202,-0.696942930955
18,462772833.713,Grand Central - 42 St_0,Queensboro Plaza_0,223630136.984,251635172.674,475265309.658,-12492475.945,40.751707,-73.9766866,40.750582,-73.940202,-2.62852678097
19,470832318.096,3 Av - 149 St_0,Queensboro Plaza_0,221492451.073,251635172.674,473127623.747,-2295305.651,40.816109,-73.917757,40.750582,-73.940202,-0.48513456746
20,388411536.004,Times Sq - 42 St_0,Queensboro Plaza_0,145182887.829,251635172.674,396818060.503,-8406524.499,40.7551308,-73.9870916,40.750582,-73.940202,-2.11848333928
21,268211932.45,Coney Island - Stillwell Av_0,Queensboro Plaza_0,16577467.2838,251635172.674,268212639.958,-707.507800043,40.577422,-73.981233,40.750582,-73.940202,-0.000263786151225
22,390081224.107,34 St - Herald Sq_0,Queensboro Plaza_0,140234090.533,251635172.674,391869263.207,-1788039.1,40.749643,-73.9878865,40.750582,-73.940202,-0.456284599962
23,327364417.556,125 St_3,Queensboro Plaza_0,76107032.3074,251635172.674,327742204.981,-377787.4254,40.811109,-73.952343,40.750582,-73.940202,-0.115269690524
24,324553830.81,96 St_0,Queensboro Plaza_0,74171566.4436,251635172.674,325806739.118,-1252908.3076,40.793919,-73.972323,40.750582,-73.940202,-0.384555675857
25,337486455.544,Fulton St_1,Queensboro Plaza_0,89515357.0672,251635172.674,341150529.741,-3664074.1972,40.7102996,-74.0087818,40.750582,-73.940202,-1.07403444455
26,335535377.454,Kings Hwy_0,Queensboro Plaza_0,84282687.3848,251635172.674,335917860.059,-382482.6048,40.60867,-73.957734,40.750582,-73.940202,-0.11386194373
27,332067334.983,Hoyt - Schermerhorn Sts_0,Queensboro Plaza_0,81539629.5011,251635172.674,333174802.175,-1107467.1921,40.688484,-73.985001,40.750582,-73.940202,-0.332398244066
28,328445030.794,34 St - Penn Station_0,Queensboro Plaza_0,81124382.4464,251635172.674,332759555.12,-4314524.3264,40.750373,-73.991057,40.750582,-73.940202,-1.29658916176
29,327826898.734,Fulton St_0,Queensboro Plaza_0,78639689.6565,251635172.674,330274862.331,-2447963.5965,40.7097353333,-74.006908,40.750582,-73.940202,-0.741189801496
30,327186262.268,W 4 St_0,Queensboro Plaza_0,76243580.2394,251635172.674,327878752.913,-692490.6454,40.732338,-74.000495,40.750582,-73.940202,-0.211203269272
31,320565475.785,Broadway-Lafayette St_0,Queensboro Plaza_0,69833172.7074,251635172.674,321468345.381,-902869.5964,40.725297,-73.996204,40.750582,-73.940202,-0.280858009621
32,316625335.447,Canal St_2,Queensboro Plaza_0,66156570.768,251635172.674,317791743.442,-1166407.995,40.720824,-74.005229,40.750582,-73.940202,-0.367035336528
33,313779796.846,Utica Av_0,Queensboro Plaza_0,62383820.4525,251635172.674,314018993.127,-239196.2805,40.679364,-73.930729,40.750582,-73.940202,-0.0761725518952
34,309782626.949,Canal St_0,Queensboro Plaza_0,59872507.0878,251635172.674,311507679.762,-1725052.8128,40.718793,-74.0007127778,40.750582,-73.940202,-0.553775372125
35,307834621.582,DeKalb Av_0,Queensboro Plaza_0,56599245.5353,251635172.674,308234418.209,-399796.6273,40.690635,-73.981824,40.750582,-73.940202,-0.129705381256
36,303110554.696,Court Sq_0,Queensboro Plaza_0,60166735.7594,251635172.674,311801908.433,-8691353.7374,40.74731725,-73.945274,40.750582,-73.940202,-2.78746008357
37,304596055.596,Crown Hts - Utica Av_0,Queensboro Plaza_0,53269044.1815,251635172.674,304904216.856,-308161.2595,40.668897,-73.932942,40.750582,-73.940202,-0.101068218301
38,303305582.062,Borough Hall_0,Queensboro Plaza_0,52166897.9996,251635172.674,303802070.674,-496488.6116,40.69273,-73.9900898,40.750582,-73.940202,-0.163425025543
