,station,delay
172,Fort Hamilton Pkwy_1,44509939.1512
173,Woodhaven Blvd_1,44045622.782
174,E 149 St_0,43280774.3537
175,Sutter Av - Rutland Rd_0,43160896.1745
176,E 143 St - St Mary's St_0,42777871.9113
177,77 St_0,42569614.1477
178,50 St_1,42091132.3402
179,New Utrecht Av_0,41931859.6295
180,23 St_4,41382495.0139
181,49 St_0,40957748.962
182,219 St_0,40889091.3955
183,6 Av_0,40566034.59
184,96 St_1,40516257.2727
185,Metropolitan Av_0,40495295.781
186,2 Av_0,40249135.0755
187,Gun Hill Rd_1,40234535.8762
188,Broad St_0,39954405.8411
189,Longwood Av_0,39925720.2083
190,Sheepshead Bay_0,39656871.6132
191,High St_0,39153933.7503
192,67 Av_0,39108244.258
193,Essex St_0,38814251.2265
194,Whitehall St_0,38805648.0008
195,Woodhaven Blvd_0,38770272.9331
196,Church Av_2,38483458.7756
197,63 Dr - Rego Park_0,38477002.8585
198,66 St - Lincoln Center_0,38388470.3035
199,Kingsbridge Rd_0,38147450.6376
200,Roosevelt Island_0,38083510.5982
201,62 St_0,38007227.6915
202,Grand Av - Newtown_0,37851142.9645
203,Beach 67 St_0,37800983.8584
204,Saratoga Av_0,37756509.0567
205,Fresh Pond Rd_0,37463176.5834
206,Bedford - Nostrand Avs_0,37439472.3882
207,71 St_0,37261052.3136
208,57 St_0,37260115.6167
209,Greenpoint Av_0,36966424.8879
210,23 St_3,36598488.0568
211,Bergen St_1,36396811.333
212,Astoria - Ditmars Blvd_0,36327079.2446
213,Junius St_0,35842143.1579
214,Nassau Av_0,35824433.792
215,Westchester Sq - E Tremont Av_0,35515805.5009
216,103 St_0,35444635.9419
217,79 St_1,35028828.3376
218,86 St_5,34991326.9324
219,Chambers St_0,34983062.7543
220,Court St_0,34756021.9484
221,50 St_0,34617071.0712
222,40 St_0,34428341.6556
223,111 St_1,34289742.9736
224,East Broadway_0,34111285.4211
225,Myrtle - Willoughby Avs_0,34079375.3731
226,225 St_0,34073514.691
227,Chambers St_2,34005200.2353
228,Chambers St_1,33883655.5128
229,Clinton - Washington Avs_1,33654722.8835
230,190 St_0,33499686.8625
231,9 St_0,33416083.5288
232,18 Av_2,33226669.1534
233,Classon Av_0,33008107.8532
234,Grand St_0,32770850.9779
235,Canarsie - Rockaway Pkwy_0,31744278.8079
236,Wilson Av_0,31655976.0776
237,21 St_0,31485108.9637
238,33 St_1,31190254.8372
239,Bedford Park Blvd_0,31092839.0746
240,86 St_0,30399155.6827
241,Beach 60 St_0,30325659.1731
242,23 St_2,30222868.7461
243,28 St_0,30176901.9196
244,85 St - Forest Pkwy_0,30117362.6649
245,Avenue U_2,29992411.7753
246,18 Av_0,29982151.8549
247,103 St_1,29866813.5809
248,Carroll St_0,29846351.97
249,8 Av_1,29726345.9533
250,Flushing Av_0,29695433.6359
251,Beverley Rd_0,29307495.2186
252,Atlantic Av_0,29288165.1676
253,Ditmas Av_0,29274264.7634
254,Sutter Av_0,29236458.5956
255,Fulton St_2,29186405.0116
256,Broadway_0,29173475.674
257,18 St_0,29149097.5652
258,138 St - Grand Concourse_0,28992413.4404
259,21 St - Queensbridge_0,28882254.3755
260,135 St_1,28850459.5604
261,8 St - NYU_0,28611723.6998
262,Pennsylvania Av_0,28590212.6585
263,Elmhurst Av_0,28558694.7218
264,20 Av_1,28430706.2073
265,Canal St_1,28402689.0081
266,Cathedral Pkwy_0,28353548.0158
267,Avenue M_0,28017639.0849
268,Bushwick Av - Aberdeen St_0,27924295.7609
269,45 St_0,27910589.2238
270,111 St_2,27775656.7144
271,5 Av/59 St_0,27664642.1849
272,104 St_1,27649327.214
273,14 St_2,27588262.6637
274,8 Av_0,27533730.9729
275,79 St_0,27443580.5923
276,135 St_0,27198881.3456
277,23 St_0,27172633.0053
278,York St_0,27025264.5821
279,Cortelyou Rd_0,26267351.4823
280,Houston St_0,26255372.4076
281,96 St_3,26182087.8836
282,Flatbush Av - Brooklyn College_0,26098059.0487
283,Nevins St_0,26095917.185
284,Bleecker St_0,26091758.845
285,9 Av_0,25911976.8159
286,Halsey St_0,25910444.0817
287,Parkside Av_0,25760838.3098
288,121 St_0,25582978.519
289,Kosciuszko St_0,25577512.7979
290,Middletown Rd_0,25503006.3587
291,Bedford Park Blvd - Lehman College_0,25477717.6766
292,Rector St_0,25470415.5685
293,Steinway St_0,25408578.19
294,Neck Rd_0,25408203.4877
295,46 St_0,25392147.1597
296,75 Av_0,25358623.244
297,Christopher St - Sheridan Sq_0,25146158.8884
298,Bay Pkwy_2,25140602.3821
299,167 St_1,25104779.2696
300,Prince St_0,25046912.6829
301,116 St - Columbia University_0,24973267.5768
302,233 St_0,24928421.9391
303,Beach 44 St_0,24761699.585
304,53 St_0,24533508.8927
305,110 St_0,24226697.9773
306,75 St_0,24189719.3263
307,Myrtle Av_0,24137757.9335
308,Fort Hamilton Pkwy_2,24129362.9819
309,Queens Plaza_0,24029829.4849
310,Clark St_0,23700100.5714
311,Avenue H_0,23597175.6488
312,Marcy Av_0,23574653.6528
313,238 St_0,23543758.3921
314,Brighton Beach_0,23409920.5621
315,Central Park North (110 St)_0,23399066.0679
316,Jackson Av_0,23330517.9282
317,Flushing Av_1,23250081.7919
318,69 St_0,23103938.9775
319,116 St_0,22912138.8777
320,72 St_1,22843834.9916
321,Avenue J_0,22582611.883
322,20 Av_0,22514953.4972
323,46 St_1,22267179.8718
324,Fort Hamilton Pkwy_0,22134353.6279
325,Beach 36 St_0,22037685.9747
326,125 St_1,21989404.5256
327,Baychester Av_0,21853489.0177
328,52 St_0,21260395.4393
329,18 Av_1,20757637.8136
330,Rockaway Av_0,20620287.72
331,Franklin Av_0,20514327.605
332,Lafayette Av_0,20482255.4756
333,Hunters Point Av_0,20361945.5118
334,Dyckman St_1,20290292.5693
335,Kings Hwy_2,20241810.4448
336,155 St_1,20157597.7285
337,W 8 St - NY Aquarium_0,20075867.2644
338,Prospect Av_1,20019529.5006
339,34 St - 11 Av_0,19771384.1837
340,Franklin St_0,19720129.5661
341,Hewes St_0,19687954.7367
342,Van Siclen Av_0,19469584.4818
343,170 St_1,19423239.2759
344,116 St_2,19416310.8056
345,50 St_2,19332684.1929
346,Union St_0,19150110.6774
347,Lorimer St_0,19117001.5784
348,Kingston Av_0,19096984.3875
349,Park Pl_0,18967344.5835
350,Whitlock Av_0,18838051.8758
351,Bay Pkwy_0,18722549.5401
352,Smith - 9 Sts_0,18530710.7387
353,Prospect Av_0,18466655.7292
354,Norwood Av_0,18438006.1271
355,Spring St_0,18400819.6199
356,116 St_1,18271763.2244
357,Vernon Blvd - Jackson Av_0,18046519.3361
358,Ozone Park - Lefferts Blvd_0,17846511.9783
359,Ocean Pkwy_0,17700467.3358
