,delay,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent(%),similarity,distance,degree_0,degree_1
26,335535377.454,Kings Hwy_0,Queensboro Plaza_0,84282687.3848,251635172.674,335917860.059,-382482.6048,40.60867,-73.957734,40.750582,-73.940202,-0.11386194373,0.0,9.835406191244509,4,5
27,332067334.983,Hoyt - Schermerhorn Sts_0,Queensboro Plaza_0,81539629.5011,251635172.674,333174802.175,-1107467.1921,40.688484,-73.985001,40.750582,-73.940202,-0.332398244066,0.0,4.887956167972008,5,5
28,328445030.794,34 St - Penn Station_0,Queensboro Plaza_0,81124382.4464,251635172.674,332759555.12,-4314524.3264,40.750373,-73.991057,40.750582,-73.940202,-1.29658916176,0.0,2.6686977417498943,3,5
29,327826898.734,Fulton St_0,Queensboro Plaza_0,78639689.6565,251635172.674,330274862.331,-2447963.5965,40.7097353333,-74.006908,40.750582,-73.940202,-0.741189801496,0.0,4.494962558826612,5,5
30,327186262.268,W 4 St_0,Queensboro Plaza_0,76243580.2394,251635172.674,327878752.913,-692490.6454,40.732338,-74.000495,40.750582,-73.940202,-0.211203269272,0.0,3.4055715520243433,6,5
31,320565475.785,Broadway-Lafayette St_0,Queensboro Plaza_0,69833172.7074,251635172.674,321468345.381,-902869.5964,40.725297,-73.996204,40.750582,-73.940202,-0.280858009621,0.0,3.4181263615529707,5,5
32,316625335.447,Canal St_2,Queensboro Plaza_0,66156570.768,251635172.674,317791743.442,-1166407.995,40.720824,-74.005229,40.750582,-73.940202,-0.367035336528,0.0,3.9831669410164374,4,5
33,313779796.846,Utica Av_0,Queensboro Plaza_0,62383820.4525,251635172.674,314018993.127,-239196.2805,40.679364,-73.930729,40.750582,-73.940202,-0.0761725518952,0.0,4.93930949142087,4,5
34,309782626.949,Canal St_0,Queensboro Plaza_0,59872507.0878,251635172.674,311507679.762,-1725052.8128,40.718793,-74.0007127778,40.750582,-73.940202,-0.553775372125,0.222222222222,3.8599449494537277,9,5
35,307834621.582,DeKalb Av_0,Queensboro Plaza_0,56599245.5353,251635172.674,308234418.209,-399796.6273,40.690635,-73.981824,40.750582,-73.940202,-0.129705381256,0.142857142857,4.678169816010124,4,5
36,303110554.696,Court Sq_0,Queensboro Plaza_0,60166735.7594,251635172.674,311801908.433,-8691353.7374,40.74731725,-73.945274,40.750582,-73.940202,-2.78746008357,0.166666666667,0.348701225592926,5,5
37,304596055.596,Crown Hts - Utica Av_0,Queensboro Plaza_0,53269044.1815,251635172.674,304904216.856,-308161.2595,40.668897,-73.932942,40.750582,-73.940202,-0.101068218301,0.0,5.6493222581459,3,5
38,303305582.062,Borough Hall_0,Queensboro Plaza_0,52166897.9996,251635172.674,303802070.674,-496488.6116,40.69273,-73.9900898,40.750582,-73.940202,-0.163425025543,0.0,4.774389887795221,5,5
39,280062190.132,Pennsylvania Av_0,Queensboro Plaza_0,28590212.6585,251635172.674,280225385.333,-163195.2005,40.664635,-73.894895,40.750582,-73.940202,-0.0582371223458,0.0,6.389919530787081,2,5
40,276535263.111,Rector St_0,Queensboro Plaza_0,25470415.5685,251635172.674,277105588.243,-570325.1315,40.7073372,-74.0135184,40.750582,-73.940202,-0.205815095653,0.333333333333,4.869887029877912,3,5
41,271620085.768,Prospect Av_1,Queensboro Plaza_0,20019529.5006,251635172.674,271654702.175,-34616.4066,40.665414,-73.992872,40.750582,-73.940202,-0.0127427967648,0.2,6.495029196911351,2,5
42,271007680.433,Van Siclen Av_0,Queensboro Plaza_0,19469584.4818,251635172.674,271104757.156,-97076.7228001,40.665449,-73.889395,40.750582,-73.940202,-0.0358078271361,0.0,6.451782013412411,2,5
43,668479060.125,Jackson Hts - Roosevelt Av_0,Woodside - 61 St_0,315917299.582,47859069.7782,363776369.36,304702690.765,40.746644,-73.891338,40.74563,-73.902984,83.7609906605,0.0,0.6151654218646104,6,4
44,303370570.104,125 St_2,Woodside - 61 St_0,256294926.729,47859069.7782,304153996.507,-783426.4032,40.804138,-73.937594,40.74563,-73.902984,-0.25757557428,0.0,4.426661624215931,4,4
45,171634706.989,Newkirk Plaza_0,Woodside - 61 St_0,123750250.403,47859069.7782,171609320.181,25386.8078,40.635082,-73.962793,40.74563,-73.902984,0.0147933735611,0.0,8.249542177515247,4,4
46,86616577.7344,Essex St_0,Woodside - 61 St_0,38814251.2265,47859069.7782,86673321.0047,-56743.2703,40.718315,-73.987437,40.74563,-73.902984,-0.0654679775071,0.0,4.8170225114475675,4,4
47,118850707.48,Nostrand Av_1,Woodside - 61 St_0,71000339.244,47859069.7782,118859409.022,-8701.5422,40.680438,-73.950426,40.74563,-73.902984,-0.00732086948066,0.0,5.142024006099705,4,4
48,59559316.2322,25 St_0,Woodside - 61 St_0,11718325.4091,47859069.7782,59577395.1873,-18078.9551,40.660397,-73.998091,40.74563,-73.902984,-0.0303453265172,0.0,7.715755886290542,2,4
49,373523846.378,Broadway Jct_0,Woodside - 61 St_0,326405791.399,47859069.7782,374264861.177,-741014.7992,40.678904,-73.9045792,40.74563,-73.902984,-0.197992084234,0.0,4.605005624326129,9,4
50,131300045.479,145 St_0,Woodside - 61 St_0,83423715.5713,47859069.7782,131282785.35,17260.1295,40.824783,-73.944216,40.74563,-73.902984,0.0131472907541,0.0,5.874347319231104,5,4
51,299321935.247,Junction Blvd_0,Woodside - 61 St_0,269649748.36,47859069.7782,317508818.138,-18186882.8912,40.749145,-73.869527,40.74563,-73.902984,-5.72799300437,1.0,1.7724389902648303,3,4
52,325652000.248,Kew Gardens - Union Tpke_0,Woodside - 61 St_0,278833714.346,47859069.7782,326692784.124,-1040783.8762,40.714441,-73.831008,40.74563,-73.902984,-0.318581837977,0.0,4.348112504340344,5,4
53,269022731.043,3 Av - 149 St_0,Woodside - 61 St_0,221492451.073,47859069.7782,269351520.851,-328789.8082,40.816109,-73.917757,40.74563,-73.902984,-0.122067180895,0.0,4.92461123282228,3,4
54,190339866.521,Times Sq - 42 St_0,Woodside - 61 St_0,145182887.829,47859069.7782,193041957.607,-2702091.0862,40.7551308,-73.9870916,40.74563,-73.902984,-1.39974289512,0.1,4.462046147772287,10,4
55,64435829.5549,Coney Island - Stillwell Av_0,Woodside - 61 St_0,16577467.2838,47859069.7782,64436537.062,-707.507100001,40.577422,-73.981233,40.74563,-73.902984,-0.00109799056911,0.0,12.313383633146046,3,4
56,188984709.385,34 St - Herald Sq_0,Woodside - 61 St_0,140234090.533,47859069.7782,188093160.311,891549.0738,40.749643,-73.9878865,40.74563,-73.902984,0.473993351127,0.0,4.464115953504827,6,4
57,124042789.258,125 St_3,Woodside - 61 St_0,76107032.3074,47859069.7782,123966102.086,76687.1724,40.811109,-73.952343,40.74563,-73.902984,0.0618614049404,0.0,5.207482684929616,4,4
58,121819919.132,96 St_0,Woodside - 61 St_0,74171566.4436,47859069.7782,122030636.222,-210717.0898,40.793919,-73.972323,40.74563,-73.902984,-0.17267556437,0.0,4.933020248115523,4,4
59,136068175.978,Fulton St_1,Woodside - 61 St_0,89515357.0672,47859069.7782,137374426.845,-1306250.8674,40.7102996,-74.0087818,40.74563,-73.902984,-0.950869020819,0.0,6.065217033491216,5,4
60,132138095.358,Kings Hwy_0,Woodside - 61 St_0,84282687.3848,47859069.7782,132141757.163,-3661.80500001,40.60867,-73.957734,40.74563,-73.902984,-0.00277111874295,0.0,9.878476988258939,4,4
61,129009248.147,Hoyt - Schermerhorn Sts_0,Woodside - 61 St_0,81539629.5011,47859069.7782,129398699.279,-389451.1323,40.688484,-73.985001,40.74563,-73.902984,-0.300969897278,0.0,5.838755061357347,5,4
62,127561368.363,34 St - Penn Station_0,Woodside - 61 St_0,81124382.4464,47859069.7782,128983452.225,-1422083.8616,40.750373,-73.991057,40.74563,-73.902984,-1.10253202025,0.0,4.6334488786406665,3,4
63,125890672.175,Fulton St_0,Woodside - 61 St_0,78639689.6565,47859069.7782,126498759.435,-608087.2597,40.7097353333,-74.006908,40.74563,-73.902984,-0.480706105275,0.0,5.991292950540345,5,4
64,125000896.847,W 4 St_0,Woodside - 61 St_0,76243580.2394,47859069.7782,124102650.018,898246.8294,40.732338,-74.000495,40.74563,-73.902984,0.723793431706,0.0,5.199387933759739,6,4
65,118092577.406,Broadway-Lafayette St_0,Woodside - 61 St_0,69833172.7074,47859069.7782,117692242.486,400334.9204,40.725297,-73.996204,40.74563,-73.902984,0.340154042395,0.0,5.090082051650634,5,4
66,113951971.144,Canal St_2,Woodside - 61 St_0,66156570.768,47859069.7782,114015640.546,-63669.4022,40.720824,-74.005229,40.74563,-73.902984,-0.0558426913141,0.0,5.6331289773109425,4,4
67,110241385.504,Utica Av_0,Woodside - 61 St_0,62383820.4525,47859069.7782,110242890.231,-1504.72670001,40.679364,-73.930729,40.74563,-73.902984,-0.00136491949445,0.0,4.798954318593524,4,4
