,delay,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon
40,276535263.111,Rector St_0,Queensboro Plaza_0,83457571.74,241567386.0,325024957.74,-48489694.629,40.7073372,-74.0135184,40.750582,-73.940202
41,271620085.768,Prospect Av_1,Queensboro Plaza_0,44668166.84,241567386.0,286235552.84,-14615467.072,40.665414,-73.992872,40.750582,-73.940202
42,271007680.433,Van Siclen Av_0,Queensboro Plaza_0,50320800.0,241567386.0,291888186.0,-20880505.567,40.665449,-73.889395,40.750582,-73.940202
43,668479060.125,Jackson Hts - Roosevelt Av_0,Woodside - 61 St_0,301205900.1,72995189.13,374201089.23,294277970.895,40.746644,-73.891338,40.74563,-73.902984
44,303370570.104,125 St_2,Woodside - 61 St_0,281095859.9,72995189.13,354091049.03,-50720478.926,40.804138,-73.937594,40.74563,-73.902984
45,171634706.989,Newkirk Plaza_0,Woodside - 61 St_0,112878557.4,72995189.13,185873746.53,-14239039.541,40.635082,-73.962793,40.74563,-73.902984
46,86616577.7344,Essex St_0,Woodside - 61 St_0,82901334.71,72995189.13,155896523.84,-69279946.1056,40.718315,-73.987437,40.74563,-73.902984
47,118850707.48,Nostrand Av_1,Woodside - 61 St_0,75881384.82,72995189.13,148876573.95,-30025866.47,40.680438,-73.950426,40.74563,-73.902984
48,59559316.2322,25 St_0,Woodside - 61 St_0,39932345.75,72995189.13,112927534.88,-53368218.6478,40.660397,-73.998091,40.74563,-73.902984
49,373523846.378,Broadway Jct_0,Woodside - 61 St_0,279697292.3,72995189.13,352692481.43,20831364.948,40.678904,-73.9045792,40.74563,-73.902984
50,131300045.479,145 St_0,Woodside - 61 St_0,89666349.0,72995189.13,162661538.13,-31361492.651,40.824783,-73.944216,40.74563,-73.902984
51,299321935.247,Junction Blvd_0,Woodside - 61 St_0,272507330.6,72995189.13,345502519.73,-46180584.483,40.749145,-73.869527,40.74563,-73.902984
52,325652000.248,Kew Gardens - Union Tpke_0,Woodside - 61 St_0,269526592.1,72995189.13,342521781.23,-16869780.982,40.714441,-73.831008,40.74563,-73.902984
53,269022731.043,3 Av - 149 St_0,Woodside - 61 St_0,254329200.0,72995189.13,327324389.13,-58301658.087,40.816109,-73.917757,40.74563,-73.902984
54,190339866.521,Times Sq - 42 St_0,Woodside - 61 St_0,139840736.4,72995189.13,212835925.53,-22496059.009,40.7551308,-73.9870916,40.74563,-73.902984
55,64435829.5549,Coney Island - Stillwell Av_0,Woodside - 61 St_0,46699045.93,72995189.13,119694235.06,-55258405.5051,40.577422,-73.981233,40.74563,-73.902984
56,188984709.385,34 St - Herald Sq_0,Woodside - 61 St_0,90801761.1,72995189.13,163796950.23,25187759.155,40.749643,-73.9878865,40.74563,-73.902984
57,124042789.258,125 St_3,Woodside - 61 St_0,82386176.59,72995189.13,155381365.72,-31338576.462,40.811109,-73.952343,40.74563,-73.902984
58,121819919.132,96 St_0,Woodside - 61 St_0,95031934.86,72995189.13,168027123.99,-46207204.858,40.793919,-73.972323,40.74563,-73.902984
59,136068175.978,Fulton St_1,Woodside - 61 St_0,124752536.0,72995189.13,197747725.13,-61679549.152,40.7102996,-74.0087818,40.74563,-73.902984
60,132138095.358,Kings Hwy_0,Woodside - 61 St_0,92284371.79,72995189.13,165279560.92,-33141465.562,40.60867,-73.957734,40.74563,-73.902984
61,129009248.147,Hoyt - Schermerhorn Sts_0,Woodside - 61 St_0,75204312.62,72995189.13,148199501.75,-19190253.603,40.688484,-73.985001,40.74563,-73.902984
62,127561368.363,34 St - Penn Station_0,Woodside - 61 St_0,69334469.21,72995189.13,142329658.34,-14768289.977,40.750373,-73.991057,40.74563,-73.902984
63,125890672.175,Fulton St_0,Woodside - 61 St_0,107387530.8,72995189.13,180382719.93,-54492047.755,40.7097353333,-74.006908,40.74563,-73.902984
64,125000896.847,W 4 St_0,Woodside - 61 St_0,85419119.45,72995189.13,158414308.58,-33413411.733,40.732338,-74.000495,40.74563,-73.902984
65,118092577.406,Broadway-Lafayette St_0,Woodside - 61 St_0,73972670.61,72995189.13,146967859.74,-28875282.334,40.725297,-73.996204,40.74563,-73.902984
66,113951971.144,Canal St_2,Woodside - 61 St_0,77276655.69,72995189.13,150271844.82,-36319873.676,40.720824,-74.005229,40.74563,-73.902984
67,110241385.504,Utica Av_0,Woodside - 61 St_0,64742442.77,72995189.13,137737631.9,-27496246.396,40.679364,-73.930729,40.74563,-73.902984
68,107430222.669,Canal St_0,Woodside - 61 St_0,61934200.53,72995189.13,134929389.66,-27499166.991,40.718793,-74.0007127778,40.74563,-73.902984
69,104392178.849,DeKalb Av_0,Woodside - 61 St_0,53619543.14,72995189.13,126614732.27,-22222553.421,40.690635,-73.981824,40.74563,-73.902984
