,delay,station_0,station_1,station_0_lat,station_0_lon,station_1_lat,station_1_lon
60,312145742.606,Kew Gardens - Union Tpke_0,Forest Hills - 71 Av_0,40.714441,-73.831008,40.721691,-73.844521
61,280339026.05,Parsons Blvd_0,Forest Hills - 71 Av_0,40.707564,-73.803326,40.721691,-73.844521
62,617965559.798,Grand Central - 42 St_0,14 St - Union Sq_0,40.751707,-73.9766866,40.7352045,-73.9902595
63,457771810.438,Jackson Hts - Roosevelt Av_0,14 St - Union Sq_0,40.746644,-73.891338,40.7352045,-73.9902595
64,435995002.21,Broadway Jct_0,14 St - Union Sq_0,40.678904,-73.9045792,40.7352045,-73.9902595
65,435380064.163,149 St - Grand Concourse_0,14 St - Union Sq_0,40.8183983333,-73.926929,40.7352045,-73.9902595
66,427756859.812,125 St_2,14 St - Union Sq_0,40.804138,-73.937594,40.7352045,-73.9902595
67,424758486.347,Junction Blvd_0,14 St - Union Sq_0,40.749145,-73.869527,40.7352045,-73.9902595
68,423890316.701,Kew Gardens - Union Tpke_0,14 St - Union Sq_0,40.714441,-73.831008,40.7352045,-73.9902595
69,406073328.832,3 Av - 149 St_0,14 St - Union Sq_0,40.816109,-73.917757,40.7352045,-73.9902595
70,396712866.026,Lexington Av/63 St_0,14 St - Union Sq_0,40.764629,-73.966113,40.7352045,-73.9902595
71,392862602.114,Queensboro Plaza_0,14 St - Union Sq_0,40.750582,-73.940202,40.7352045,-73.9902595
72,383247855.124,Franklin Av_1,14 St - Union Sq_0,40.670682,-73.958131,40.7352045,-73.9902595
73,382696810.8,3 Av - 138 St_0,14 St - Union Sq_0,40.810476,-73.926138,40.7352045,-73.9902595
74,379633730.854,161 St - Yankee Stadium_0,14 St - Union Sq_0,40.8279346667,-73.925711,40.7352045,-73.9902595
75,375276415.506,36 St_0,14 St - Union Sq_0,40.655144,-74.003549,40.7352045,-73.9902595
76,368140703.929,72 St_2,14 St - Union Sq_0,40.768799,-73.958424,40.7352045,-73.9902595
77,356913581.132,Euclid Av_0,14 St - Union Sq_0,40.675377,-73.872106,40.7352045,-73.9902595
78,352394835.158,39 Av_0,14 St - Union Sq_0,40.752882,-73.932755,40.7352045,-73.9902595
79,351998218.905,Forest Hills - 71 Av_0,14 St - Union Sq_0,40.721691,-73.844521,40.7352045,-73.9902595
80,349864845.158,36 Av_0,14 St - Union Sq_0,40.756804,-73.929575,40.7352045,-73.9902595
81,349808365.121,Parsons Blvd_0,14 St - Union Sq_0,40.707564,-73.803326,40.7352045,-73.9902595
82,348171500.488,Grant Av_0,14 St - Union Sq_0,40.677044,-73.86505,40.7352045,-73.9902595
83,343815567.904,42 St - Port Authority Bus Terminal_0,14 St - Union Sq_0,40.757308,-73.989735,40.7352045,-73.9902595
84,343500921.234,Hunts Point Av_0,14 St - Union Sq_0,40.820948,-73.890549,40.7352045,-73.9902595
85,341876148.883,President St_0,14 St - Union Sq_0,40.667883,-73.950683,40.7352045,-73.9902595
86,334606487.882,Atlantic Av - Barclays Ctr_0,14 St - Union Sq_0,40.6841504444,-73.9778748889,40.7352045,-73.9902595
87,333779721.522,59 St_0,14 St - Union Sq_0,40.762526,-73.967967,40.7352045,-73.9902595
88,609565797.274,Broadway Jct_0,Kew Gardens - Union Tpke_0,40.678904,-73.9045792,40.714441,-73.831008
89,527790693.811,149 St - Grand Concourse_0,Kew Gardens - Union Tpke_0,40.8183983333,-73.926929,40.714441,-73.831008
90,522281772.87,125 St_2,Kew Gardens - Union Tpke_0,40.804138,-73.937594,40.714441,-73.831008
91,512676021.396,Grand Central - 42 St_0,Kew Gardens - Union Tpke_0,40.751707,-73.9766866,40.714441,-73.831008
92,504276580.002,Junction Blvd_0,Kew Gardens - Union Tpke_0,40.749145,-73.869527,40.714441,-73.831008
93,503532679.64,Jackson Hts - Roosevelt Av_0,Kew Gardens - Union Tpke_0,40.746644,-73.891338,40.714441,-73.831008
94,605429144.784,149 St - Grand Concourse_0,86 St_1,40.8183983333,-73.926929,40.779492,-73.955589
95,423334914.116,Jackson Hts - Roosevelt Av_0,86 St_1,40.746644,-73.891338,40.779492,-73.955589
96,418944413.176,125 St_2,86 St_1,40.804138,-73.937594,40.779492,-73.955589
97,402939126.688,Broadway Jct_0,86 St_1,40.678904,-73.9045792,40.779492,-73.955589
98,392908004.569,Junction Blvd_0,86 St_1,40.749145,-73.869527,40.779492,-73.955589
99,391085887.803,Kew Gardens - Union Tpke_0,86 St_1,40.714441,-73.831008,40.779492,-73.955589
