,0,1
230,Bronx Park East_0,2
231,West Farms Sq - E Tremont Av_0,2
232,67 Av_0,2
233,Kings Hwy_1,2
234,75 Av_0,2
235,2 Av_0,2
236,80 St_0,2
237,Union St_0,2
238,Avenue M_0,2
239,Church Av_2,2
240,Ocean Pkwy_0,2
241,Steinway St_0,2
242,Longwood Av_0,2
243,Winthrop St_0,2
244,Grasmere_0,2
245,Beverly Rd_0,2
246,Bay Terrace_0,2
247,Grand Av - Newtown_0,2
248,Castle Hill Av_0,2
249,Avenue I_0,2
250,21 St_0,2
251,Buhre Av_0,2
252,Seneca Av_0,2
253,18 St_0,2
254,Fresh Pond Rd_0,2
255,York St_0,2
256,Avenue X_0,2
257,Zerega Av_0,2
258,Elmhurst Av_0,2
259,Jefferson Av_0,2
260,167 St_1,2
261,183 St_0,2
262,157 St_0,2
263,68 St - Hunter College_0,2
264,96 St_2,2
265,Cleveland St_0,2
266,3 Av_0,2
267,Baychester Av_0,2
268,Cortelyou Rd_0,2
269,215 St_0,2
270,225 St_0,2
271,Lorimer St_0,2
272,53 St_0,2
273,207 St_0,2
274,21 St - Queensbridge_0,2
275,E 149 St_0,2
276,Bay Ridge Av_0,2
277,Freeman St_0,2
278,Woodhaven Blvd_0,2
279,25 St_0,2
280,Burke Av_0,2
281,Avenue P_0,2
282,Flushing Av_1,2
283,Flushing Av_0,2
284,Sutter Av_0,2
285,Northern Blvd_0,2
286,Grant City_0,2
287,145 St_2,2
288,Cypress Av_0,2
289,9 Av_0,2
290,Wilson Av_0,2
291,Spring St_0,2
292,Spring St_1,2
293,86 St_5,2
294,86 St_4,2
295,86 St_0,2
296,86 St_3,2
297,86 St_2,2
298,174 St_0,2
299,69 St_0,2
300,Eastern Pkwy - Brooklyn Museum_0,2
301,President St_0,2
302,Kingsbridge Rd_0,2
303,Astoria Blvd_0,2
304,Fordham Rd_0,2
305,8 St - NYU_0,2
306,57 St_0,2
307,Atlantic Av_0,2
308,36 Av_0,2
309,Ditmas Av_0,2
310,103 St_2,2
311,103 St_0,2
312,103 St_1,2
313,111 St_1,2
314,111 St_0,2
315,Classon Av_0,2
316,181 St_0,2
317,181 St_1,2
318,71 St_0,2
319,Pleasant Plains_0,2
320,Briarwood - Van Wyck Blvd_0,2
321,Grand Central - 42 St_1,2
322,7 Av_2,2
323,7 Av_1,2
324,169 St_0,2
325,36 St_1,2
326,66 St - Lincoln Center_0,2
327,85 St - Forest Pkwy_0,2
328,Simpson St_0,2
329,Greenpoint Av_0,2
330,Kingston - Throop Avs_0,2
331,Westchester Sq - E Tremont Av_0,2
332,79 St_1,2
333,79 St_0,2
334,Gun Hill Rd_1,2
335,Gun Hill Rd_0,2
336,Bowery_0,2
337,Rockaway Av_0,2
338,Rockaway Av_1,2
339,Park Pl_1,2
340,28 St_1,2
341,28 St_0,2
342,28 St_2,2
343,Whitlock Av_0,2
344,Howard Beach - JFK Airport_0,2
345,Beach 90 St_0,2
346,46 St_1,2
347,46 St_0,2
348,Bay Pkwy_0,2
349,Bay Pkwy_1,2
350,Bay Pkwy_2,2
351,Church Av_0,2
352,Saratoga Av_0,2
353,50 St_2,2
354,50 St_0,2
355,238 St_0,2
356,23 St_0,2
357,23 St_1,2
358,23 St_2,2
359,23 St_3,2
360,23 St_4,2
361,Ralph Av_0,2
362,Pelham Pkwy_0,2
363,Pelham Pkwy_1,2
364,137 St - City College_0,2
365,Clifton_0,2
366,Beach 98 St_0,2
367,72 St_2,2
368,72 St_1,2
369,Whitehall St_0,2
370,Marble Hill - 225 St_0,2
371,Roosevelt Island_0,2
372,Nereid Av_0,2
373,30 Av_0,2
374,Dongan Hills_0,2
375,Broadway_0,2
376,Broadway_1,2
377,116 St_0,2
378,116 St_1,2
379,116 St_2,2
380,49 St_0,2
381,Allerton Av_0,2
382,Carroll St_0,2
383,Prospect Av_1,2
384,Prospect Av_0,2
385,Jefferson St_0,2
386,138 St - Grand Concourse_0,2
387,145 St_1,2
388,Beach 60 St_0,2
389,163 St - Amsterdam Av_0,2
390,Marcy Av_0,2
391,90 St - Elmhurst Av_0,2
392,170 St_0,2
393,170 St_1,2
394,Gates Av_0,2
395,Eltingville_0,2
396,St George_0,2
397,77 St_1,2
398,77 St_0,2
399,Morgan Av_0,2
400,Wall St_1,2
401,Wall St_0,2
402,55 St_0,2
403,Lafayette Av_0,2
404,Alabama Av_0,2
